날짜,평균강수량,최대강수량,평균기온,최고기온,최저기온,평균습도,최저습도,평균풍속,최대풍속,마늘가격,마늘거래량,마늘생산량,마늘저장이월량,마늘수입량,마늘수입금액,마늘재배면적,고급휘발유,보통휘발유,자동차용경유,소비자물가지수,농축수산물,공업제품,집세,공공서비스,개인서비스,근원물가,생활물가
2014-01-03,0,0,2.6,10.1,-3.2,54,12,1.2,9.6,3530.248412,77.13,353760,0,52810,30417,25062,2200.04,1888.51,1707.15,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-04,1.2,31,1.5,6.9,-2.8,63,12,1.7,11.9,2409.531445,17.65,353760,0,52810,30417,25062,2199.92,1888.98,1707.61,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-06,0,11,0.2,7.6,-5.1,59,12,1.1,7.7,2822.186551,23.05,353760,0,52810,30417,25062,2200.38,1889.14,1707.8,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-07,0,1.5,1.9,7.8,-4.3,60,16,1.1,8,2354.123386,14.25,353760,0,52810,30417,25062,2200.69,1889.15,1707.73,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-08,1.8,41.3,2.1,5.3,-1.4,65,25,2.4,17.7,2408.945798,15.76,353760,0,52810,30417,25062,2200.98,1889.16,1707.7,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-09,0,31.7,-4.4,-0.6,-8.1,34,9,3.6,22.3,2721.581866,22.72,353760,0,52810,30417,25062,2201.02,1889.13,1707.6,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-10,0,1.4,-3.7,2,-9.6,56,10,1.8,12,2163.589492,29.5,353760,0,52810,30417,25062,2201.38,1888.66,1707.37,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-11,0,0.2,-0.8,4.4,-5.5,58,14,1.6,12,2253.697709,12.05,353760,0,52810,30417,25062,2202.06,1888.51,1707.28,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-13,0,20.7,-3.9,1.5,-8.4,38,8,2.3,13.3,1921.310106,27.41,353760,0,52810,30417,25062,2201.17,1888.27,1707.12,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-14,0,1.1,-3.4,3.4,-9.3,43,10,1.8,11.6,2111.815203,15.26,353760,0,52810,30417,25062,2198.59,1887.64,1706.65,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-15,0,1,-2.3,4.3,-8.1,50,12,1.8,10.6,2746.818811,21.69,353760,0,52810,30417,25062,2196.99,1887.23,1706.31,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-16,0,0.5,-0.9,5.2,-6.6,62,18,1.5,9.2,2273.507923,11.99,353760,0,52810,30417,25062,2196.88,1886.88,1705.98,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-17,0,20.4,-0.1,5.9,-5,64,17,1.2,9.5,1621.720721,28.86,353760,0,52810,30417,25062,2196.73,1886.39,1705.56,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-18,0,9.1,-0.6,3.9,-4.6,53,16,2.9,18.1,2274.944209,14.16,353760,0,52810,30417,25062,2196.89,1886.06,1705.11,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-20,1.5,9,1,5.5,-2.2,69,18,2.4,19.1,2150.740366,36.59,353760,0,52810,30417,25062,2196.39,1885.54,1704.51,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-21,1.4,31.2,-2.9,-0.1,-5.5,66,26,3,21.4,2263.127269,31.95,353760,0,52810,30417,25062,2195.7,1885.24,1704.06,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-22,0,0,-2.7,3.4,-8,60,11,2,15.7,2355.274786,27.11,353760,0,52810,30417,25062,2195.18,1884.91,1703.67,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-23,0,0.1,-1,7.1,-7.5,62,12,1.3,10.8,2305,14.34,353760,0,52810,30417,25062,2195.24,1884.54,1703.47,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-24,0,0,4,10.7,-3.5,66,23,1.9,11.3,2396.097276,34.29,353760,0,52810,30417,25062,2195.73,1884.02,1702.88,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-25,1.9,9,6.2,10.6,1.4,79,38,2.1,14.8,2551.934468,19.04,353760,0,52810,30417,25062,2194.72,1883.73,1702.41,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-27,0,0,0.7,8.9,-7,56,8,1.7,14.2,1638.866394,117.11,353760,0,52810,30417,25062,2194.69,1883.49,1702.14,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-28,0.1,1.3,3,9.3,-3.1,57,11,2.2,12.3,2616.798,23,353760,0,52810,30417,25062,2195.53,1883.21,1701.88,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-01-29,0.7,8.4,3,11.5,-6.4,51,5,1.4,12.4,1774.998497,26.61,353760,0,52810,30417,25062,2195.85,1883.07,1701.64,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
2014-02-03,0,3.9,1.8,7.3,-4.5,50,9,3.6,17.7,2333.938036,25.66,353760,0,52810,30417,25062,2197.29,1882.25,1700.62,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
2014-02-04,0,15.1,-4.9,-0.7,-8.1,35,9,3.7,20.5,2099.553886,15.31,353760,0,52810,30417,25062,2196.64,1882.22,1700.7,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
2014-02-05,0,2.2,-3.8,1.4,-8.1,40,11,1.7,11.1,2054.140915,8.09,353760,0,52810,30417,25062,2196.96,1881.94,1700.5,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
2014-02-06,0.3,36.2,-0.5,4.5,-4.8,52,13,1.7,10.3,2333.17995,16.06,353760,0,52810,30417,25062,2197.83,1881.8,1700.22,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
2014-02-07,2.8,35.5,2.6,6.7,-1.8,66,32,2.6,9.5,4364.891082,41.04,353760,0,52810,30417,25062,2197.37,1881.48,1699.92,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
2014-02-08,3.2,21.5,2.2,4.6,0.4,81,39,2.3,15.8,2315.907001,9.57,353760,0,52810,30417,25062,2197.66,1881.13,1699.48,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
2014-02-10,2.2,44.2,0.1,3.4,-2.6,72,32,2.4,12.8,2198.756419,15.19,353760,0,52810,30417,25062,2197.04,1880.85,1699.14,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
2014-02-11,0.6,14.4,0.1,5.3,-4.2,63,23,2.1,9.6,2174.481525,13.69,353760,0,52810,30417,25062,2195.41,1880.37,1698.7,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
2014-02-12,0.4,9.1,0.9,6.5,-3.3,65,26,1.7,9.1,2140.045783,12.45,353760,0,52810,30417,25062,2195.22,1880.18,1698.37,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
2014-02-13,2.1,40.1,1.6,6,-2.7,68,26,2,11.1,2139.788669,11.12,353760,0,52810,30417,25062,2194.07,1880.08,1698.15,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
2014-02-14,0.2,5.4,1.9,6,-1.6,63,26,2.3,11.2,2178.802407,19.61,353760,0,52810,30417,25062,2192.9,1879.89,1697.95,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
2014-02-15,0,1,1.7,8.9,-4.1,62,15,1.6,11.6,2030.01956,12.27,353760,0,52810,30417,25062,2194.28,1879.81,1697.69,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
2014-02-17,2.5,32,4.1,8.3,0.7,66,20,2,13.2,2395.767327,18.18,353760,0,52810,30417,25062,2195.6,1879.59,1697.58,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
2014-02-18,0.5,8.5,2.4,5.6,-0.7,61,28,2.8,10.7,2372.656974,22.01,353760,0,52810,30417,25062,2199.79,1880.49,1697.75,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
2014-02-19,0.1,2.1,1.6,6.7,-2.8,60,22,1.8,9,2129.415094,12.19,353760,0,52810,30417,25062,2201.21,1880.43,1697.61,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
2014-02-20,0,9.2,1.5,7.5,-3.8,64,13,1.8,12.5,2242.813382,22.69,353760,0,52810,30417,25062,2200.68,1880.46,1697.58,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
2014-02-21,0,9.6,1.1,7.9,-4.4,57,5,1.7,11.8,1976.583398,14.25,353760,0,52810,30417,25062,2202.19,1880.32,1697.44,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
2014-02-22,0,2.4,1.8,9.2,-4.5,61,14,1.4,8.8,2131.121815,12.56,353760,0,52810,30417,25062,2202.28,1880.29,1697.35,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
2014-02-24,0,6.5,4.2,12,-2.5,61,19,1.3,7.8,1878.618708,22.45,353760,0,52810,30417,25062,2201.33,1880.29,1697.34,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
2014-02-25,0,0.2,5.6,13.6,-1.3,61,18,1.3,6.7,2176.60716,20.95,353760,0,52810,30417,25062,2201.91,1880.5,1697.62,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
2014-02-26,4.1,57.8,6.2,11.5,1.2,72,18,1.4,11.5,2135.27245,22.26,353760,0,52810,30417,25062,2202.06,1880.55,1697.69,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
2014-02-27,0.2,3.3,8.6,15.5,3.4,68,18,1.9,11.4,1919.326624,22.16,353760,0,52810,30417,25062,2202.53,1880.49,1697.5,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
2014-02-28,0.1,3.7,7.1,11.8,3.1,68,28,1.9,10.5,2830.077963,24.56,353760,0,52810,30417,25062,2202.75,1880.43,1697.53,1,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
2014-03-01,2.1,31.9,6.6,9.8,4,76,30,1.5,12.1,2019.439386,16.04,353760,0,52810,30417,25062,2203.54,1880.52,1697.35,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-03-03,0,0,4.3,11.6,-2.4,52,11,1.6,8.4,2351.218259,30.17,353760,0,52810,30417,25062,2202.73,1880.59,1697.44,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-03-04,0.2,26.6,5.1,11.4,-1.1,57,14,1.5,10.3,2373.774501,23.06,353760,0,52810,30417,25062,2203.05,1880.89,1697.46,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-03-05,0.7,15.1,3.1,8,-0.7,45,7,3.7,16.7,1911.595393,28.95,353760,0,52810,30417,25062,2202.82,1881.03,1697.47,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-03-06,0,0.3,1.4,6.5,-4.1,39,10,2.7,13.3,2059.539486,21.32,353760,0,52810,30417,25062,2202.59,1881.2,1697.44,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-03-07,0,0.2,1.3,6.3,-3.8,35,8,3,14,2016.281968,38.44,353760,0,52810,30417,25062,2202.68,1881.57,1697.76,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-03-08,0,0.4,2.4,8.2,-3.2,46,10,2.1,8.9,2110.553206,28.85,353760,0,52810,30417,25062,2202.76,1881.68,1697.62,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-03-10,0,0,2,8.8,-4.4,45,10,2.3,15.3,2217.837175,23.65,353760,0,52810,30417,25062,2204.16,1881.83,1697.79,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-03-11,0,0,5,13.6,-3.6,48,8,2,12.5,2109.845674,94.67,353760,0,52810,30417,25062,2204.07,1881.9,1697.68,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-03-12,23,55,5.8,9.3,0.5,79,11,1.5,14.4,2027.970675,57.63,353760,0,52810,30417,25062,2204.69,1882.04,1697.54,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-03-13,8.8,37.5,4.2,7.6,1.4,80,31,3,21.3,2268.141709,22.14,353760,0,52810,30417,25062,2204.33,1882.1,1697.54,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-03-14,0.3,4.5,3.3,8.4,-0.9,66,21,2.1,17.2,2043.11701,30.82,353760,0,52810,30417,25062,2204.58,1881.87,1697.26,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-03-15,0,0,6.9,14.1,-1.4,59,16,2.6,13.5,2132.542715,17.32,353760,0,52810,30417,25062,2204.68,1881.8,1697,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-03-17,1.3,26.5,12.4,20.1,3.8,71,18,2.5,16.1,2154.610512,87.78,353760,0,52810,30417,25062,2203.72,1881.8,1696.95,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-03-18,0.5,13.5,12.6,18.3,7.4,67,13,3.1,14.6,2610.321873,27.43,353760,0,52810,30417,25062,2203.71,1881.66,1696.52,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-03-19,0.1,2.5,9,12.6,5.8,64,29,2,11.6,2204.71399,19.81,353760,0,52810,30417,25062,2204,1881.47,1696.19,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-03-20,2.7,17.5,6.4,10.7,3,69,20,3,24.2,2143.974935,62.56,353760,0,52810,30417,25062,2203.07,1881.27,1695.94,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-03-21,0,0.5,5,10.4,0.5,59,17,2.6,21,2088.242944,24.38,353760,0,52810,30417,25062,2203.16,1880.8,1695.33,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-03-22,0,0,7.6,15.6,-1,58,14,1.9,8.9,1972.464079,32.03,353760,0,52810,30417,25062,2202.87,1880.6,1694.98,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-03-24,0,0.1,11.2,18.1,2.2,50,6,2.3,12.6,2066.628044,74.69,353760,0,52810,30417,25062,2202.58,1880.33,1694.7,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-03-25,9.3,35.5,14.2,18.1,11.2,72,20,1.8,13.5,2062.521427,26.72,353760,0,52810,30417,25062,2201.07,1880.02,1694.39,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-03-26,8.9,26,13.8,19,9.5,80,13,1.6,10.3,2247.594741,20,353760,0,52810,30417,25062,2200.74,1879.79,1694.09,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-03-27,0,0,12.7,20.6,6.4,71,12,1.6,9.1,2042.072629,129.16,353760,0,52810,30417,25062,2201.43,1879.51,1693.82,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-03-28,0,1.5,15.7,24.1,7.6,59,10,1.9,13.8,2085.972299,86.86,353760,0,52810,30417,25062,2200.81,1879.34,1693.62,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-03-29,10.7,70,14.2,17.2,11.7,82,23,1.9,14.8,2123.948889,24.57,353760,0,52810,30417,25062,2200.91,1879.13,1693.22,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-03-31,0,0,12,19.8,5.5,66,11,1.4,7.8,2108.978112,81.87,353760,0,52810,30417,25062,2199.91,1878.94,1693.14,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
2014-04-01,0,0,13.2,21.8,5.3,56,9,1.5,7.1,2085.961333,28.14,353760,0,52810,30417,25062,2199.99,1878.66,1692.96,1.5,-3.5,2,2.5,0.7,1.8,2.3,1
2014-04-02,0,0,14.3,22.6,6.3,48,11,1.6,9.4,1899.601529,28.26,353760,0,52810,30417,25062,2200.63,1878.42,1692.75,1.5,-3.5,2,2.5,0.7,1.8,2.3,1
2014-04-03,4.9,34,10.7,18.1,5,62,12,2.4,18.6,2034.42234,45.64,353760,0,52810,30417,25062,2199.82,1878.43,1692.64,1.5,-3.5,2,2.5,0.7,1.8,2.3,1
2014-04-04,0.8,14.5,7,11.9,2.8,54,14,3,22.7,2273.325343,22.95,353760,0,52810,30417,25062,2200.23,1878.3,1692.45,1.5,-3.5,2,2.5,0.7,1.8,2.3,1
2014-04-05,0.6,6.5,6.2,12.3,1.2,59,12,2.6,20.8,2165.857831,19.53,353760,0,52810,30417,25062,2200.23,1878.16,1692.11,1.5,-3.5,2,2.5,0.7,1.8,2.3,1
2014-04-07,0,0,11.6,19.2,3.9,47,10,2.8,12.5,2391.172855,32.56,353760,0,52810,30417,25062,2200.29,1877.99,1691.93,1.5,-3.5,2,2.5,0.7,1.8,2.3,1
2014-04-08,0,0,12.2,20.7,3.9,47,8,1.8,9.9,2578.249196,24.88,353760,0,52810,30417,25062,2197.6,1877.71,1691.4,1.5,-3.5,2,2.5,0.7,1.8,2.3,1
2014-04-09,0,0,12.9,20.9,4.9,59,8,1.8,9.2,2295.591977,25.15,353760,0,52810,30417,25062,2198.53,1877.47,1691.14,1.5,-3.5,2,2.5,0.7,1.8,2.3,1
2014-04-10,0,0,12.8,20.7,7,61,9,2.3,11.5,2533.676935,36.1,353760,0,52810,30417,25062,2198.3,1877.19,1690.81,1.5,-3.5,2,2.5,0.7,1.8,2.3,1
2014-04-11,0.1,1,12.3,17.8,7.8,62,16,1.7,9.4,2421.733527,24.06,353760,0,52810,30417,25062,2198.85,1876.74,1690.21,1.5,-3.5,2,2.5,0.7,1.8,2.3,1
2014-04-12,0.1,10,13.4,18.1,9.4,66,19,1.4,7.9,2392.929816,19.52,353760,0,52810,30417,25062,2198.31,1876.56,1689.76,1.5,-3.5,2,2.5,0.7,1.8,2.3,1
2014-04-14,0,0,13.7,22.5,5,53,11,1.9,9.2,2319.803368,30.82,353760,0,52810,30417,25062,2198.67,1876.29,1689.5,1.5,-3.5,2,2.5,0.7,1.8,2.3,1
2014-04-15,0,0,16,23.6,7.5,57,15,2.4,11.3,2639.239638,31.92,353760,0,52810,30417,25062,2200.45,1876.08,1689.05,1.5,-3.5,2,2.5,0.7,1.8,2.3,1
2014-04-16,0,2.4,16.3,23,11,60,12,2,9.8,2264.972829,30.36,353760,0,52810,30417,25062,2200.91,1876,1688.75,1.5,-3.5,2,2.5,0.7,1.8,2.3,1
2014-04-17,12.5,34,13.4,20.5,7.7,68,8,1.8,11.2,2249.141,30.31,353760,0,52810,30417,25062,2199.84,1875.81,1688.45,1.5,-3.5,2,2.5,0.7,1.8,2.3,1
2014-04-18,0.7,6,13.5,18.4,10.2,76,16,1.9,8.9,2003.393512,31.63,353760,0,52810,30417,25062,2198.47,1875.46,1688.07,1.5,-3.5,2,2.5,0.7,1.8,2.3,1
2014-04-19,0,4.8,12.5,16.3,9.1,61,27,2.7,11.7,2464.893526,21.04,353760,0,52810,30417,25062,2199.18,1875.24,1687.74,1.5,-3.5,2,2.5,0.7,1.8,2.3,1
2014-04-21,0,0,15,21.9,8.3,56,12,2,11.2,2461.614771,39.89,353760,0,52810,30417,25062,2198.79,1875,1687.49,1.5,-3.5,2,2.5,0.7,1.8,2.3,1
2014-04-22,0,0,14.9,22,8.6,47,10,1.9,9.7,2281.848501,26.09,353760,0,52810,30417,25062,2199.14,1874.74,1687.09,1.5,-3.5,2,2.5,0.7,1.8,2.3,1
2014-04-23,0,0,15.4,24.2,6.7,48,8,1.7,9.2,2631.641637,31.91,353760,0,52810,30417,25062,2200.36,1874.35,1686.66,1.5,-3.5,2,2.5,0.7,1.8,2.3,1
2014-04-24,0,0,16.6,25.2,8.5,48,10,1.6,8.1,2301.763767,26.93,353760,0,52810,30417,25062,2200,1874.04,1686.41,1.5,-3.5,2,2.5,0.7,1.8,2.3,1
2014-04-25,0,0,17.1,25.8,8.4,43,11,1.5,8.6,2222.224903,32.74,353760,0,52810,30417,25062,2200.43,1873.72,1686.13,1.5,-3.5,2,2.5,0.7,1.8,2.3,1
2014-04-26,0,6.5,17.1,23.7,9.8,50,13,1.6,10.7,2324.129088,33.73,353760,0,52810,30417,25062,2199.92,1873.59,1685.95,1.5,-3.5,2,2.5,0.7,1.8,2.3,1
2014-04-28,27.2,110.5,13.6,15.4,12.4,88,44,3,12.9,2404.805203,30.75,353760,0,52810,30417,25062,2199.77,1873.29,1685.52,1.5,-3.5,2,2.5,0.7,1.8,2.3,1
2014-04-29,23.2,180.4,14.2,17,12.1,85,1,2.4,12.7,2249.946743,33.05,353760,0,52810,30417,25062,2199.62,1873.17,1685.42,1.5,-3.5,2,2.5,0.7,1.8,2.3,1
2014-04-30,1.1,13,14.5,19.3,11.1,77,26,1.7,12,2486.850859,30.03,353760,0,52810,30417,25062,2199.46,1873.05,1685.24,1.5,-3.5,2,2.5,0.7,1.8,2.3,1
2014-05-01,0,1,16.3,23,10,66,23,2,8.8,2412.313555,19.62,353760,0,52810,30417,25062,2198.73,1872.63,1684.67,1.7,-2,2.2,2.4,0.7,1.8,2.2,1.4
2014-05-02,0.2,1.8,17.4,25.8,10.1,61,15,2.8,13.8,2036.919642,40.53,353760,0,52810,30417,25062,2198.55,1872.51,1684.58,1.7,-2,2.2,2.4,0.7,1.8,2.2,1.4
2014-05-03,0,0,14.4,20.9,9,48,9,3.3,15.3,2011.826067,25.71,353760,0,52810,30417,25062,2199.03,1872.47,1684.44,1.7,-2,2.2,2.4,0.7,1.8,2.2,1.4
2014-05-05,0.1,2,11.6,17.2,6.3,47,10,3.3,14.5,2378.671405,33.91,353760,0,52810,30417,25062,2198.86,1872.61,1684.48,1.7,-2,2.2,2.4,0.7,1.8,2.2,1.4
2014-05-06,0,0.2,12.7,19.8,5.6,47,12,2.2,10.8,1951.935962,42.8,353760,0,52810,30417,25062,2198.69,1872.78,1684.53,1.7,-2,2.2,2.4,0.7,1.8,2.2,1.4
2014-05-07,0.3,7,15.3,22.7,6.2,49,10,2.6,13.9,2055.433235,125.97,353760,0,52810,30417,25062,2197.45,1872.44,1684.28,1.7,-2,2.2,2.4,0.7,1.8,2.2,1.4
2014-05-08,2.7,15,15.4,20.6,10.6,69,12,2.9,13,2181.253161,36.78,353760,0,52810,30417,25062,2197.02,1872.1,1683.99,1.7,-2,2.2,2.4,0.7,1.8,2.2,1.4
2014-05-09,0,0,15.5,23.4,8.3,60,14,1.8,8.8,2454.191548,30.53,353760,0,52810,30417,25062,2195.87,1871.77,1683.64,1.7,-2,2.2,2.4,0.7,1.8,2.2,1.4
2014-05-10,0,0,17.2,24.7,9.2,49,12,2.2,16.2,2188.864669,47.3,353760,0,52810,30417,25062,2195.4,1871.48,1683.27,1.7,-2,2.2,2.4,0.7,1.8,2.2,1.4
2014-05-12,15.6,118.5,17.9,22.4,14.2,69,25,3.3,16.4,1861.009314,77.3,353760,0,52810,30417,25062,2196.39,1871.18,1682.93,1.7,-2,2.2,2.4,0.7,1.8,2.2,1.4
2014-05-13,0,0,20.1,27.4,12,59,13,2.6,13.6,1879.410956,100.64,353760,0,52810,30417,25062,2193.42,1870.64,1682.38,1.7,-2,2.2,2.4,0.7,1.8,2.2,1.4
2014-05-14,1.6,16,18.5,23.6,14.4,64,10,1.9,13.4,1727.150336,109.03,353760,0,52810,30417,25062,2194.02,1870.18,1681.9,1.7,-2,2.2,2.4,0.7,1.8,2.2,1.4
2014-05-15,0,3.3,18.6,24.5,14,56,12,3,14.6,1772.18773,57.16,353760,0,52810,30417,25062,2193.49,1869.67,1681.29,1.7,-2,2.2,2.4,0.7,1.8,2.2,1.4
2014-05-16,0,0,19,26.1,11.7,49,12,2.3,10.5,1837.886463,42.68,353760,0,52810,30417,25062,2192.79,1869.3,1680.85,1.7,-2,2.2,2.4,0.7,1.8,2.2,1.4
2014-05-17,0,0,18.7,25.9,12.1,56,10,1.7,8.5,1873.685168,53.33,353760,0,52810,30417,25062,2192.01,1868.87,1680.29,1.7,-2,2.2,2.4,0.7,1.8,2.2,1.4
2014-05-19,0,0,19.4,26.8,11.8,58,10,1.6,8.6,1620.666611,204.69,353760,0,52810,30417,25062,2192.22,1868.57,1680.04,1.7,-2,2.2,2.4,0.7,1.8,2.2,1.4
2014-05-20,4.5,83.9,18.4,23,14.8,70,13,1.4,10.4,1478.910713,151.37,353760,0,52810,30417,25062,2192.84,1868.39,1679.7,1.7,-2,2.2,2.4,0.7,1.8,2.2,1.4
2014-05-21,0,18.5,18.4,24.7,13.2,69,15,2.3,10.3,1709.456337,54.7,353760,0,52810,30417,25062,2193.58,1868.12,1679.46,1.7,-2,2.2,2.4,0.7,1.8,2.2,1.4
2014-05-22,0,0.5,19.5,27,12.7,67,16,1.9,8.3,1662.152518,92.65,353760,0,52810,30417,25062,2193.11,1867.9,1679.04,1.7,-2,2.2,2.4,0.7,1.8,2.2,1.4
2014-05-23,0,1.5,19.2,24.1,15.4,74,34,1.9,10.3,1458.843169,123.97,353760,0,52810,30417,25062,2193.45,1867.68,1678.88,1.7,-2,2.2,2.4,0.7,1.8,2.2,1.4
2014-05-24,0,0.3,21.8,28.6,15.4,68,16,1.9,9.7,1219.740675,109.65,353760,0,52810,30417,25062,2194.01,1867.37,1678.46,1.7,-2,2.2,2.4,0.7,1.8,2.2,1.4
2014-05-26,2.3,19.5,20.5,26,15.3,59,16,2.9,12.9,1487.910446,149.83,353760,0,52810,30417,25062,2193.74,1866.91,1677.81,1.7,-2,2.2,2.4,0.7,1.8,2.2,1.4
2014-05-27,0,0,22,29.5,13.5,48,13,2.8,13.4,1346.851056,105.12,353760,0,52810,30417,25062,2194.47,1866.71,1677.53,1.7,-2,2.2,2.4,0.7,1.8,2.2,1.4
2014-05-28,1.2,25.5,21.6,28.4,16,65,17,2.3,13.2,1210.468376,156.97,353760,0,52810,30417,25062,2195.59,1866.42,1677.1,1.7,-2,2.2,2.4,0.7,1.8,2.2,1.4
2014-05-29,0,0,22.8,31.1,15.5,60,10,1.8,9.5,1475.201028,93.42,353760,0,52810,30417,25062,2195.06,1866.22,1676.75,1.7,-2,2.2,2.4,0.7,1.8,2.2,1.4
2014-05-30,0,0,23.6,32.1,15.2,51,9,1.7,10,1548.474879,103.84,353760,0,52810,30417,25062,2195.22,1866.03,1676.63,1.7,-2,2.2,2.4,0.7,1.8,2.2,1.4
2014-05-31,0,0.1,24.3,32.4,16.3,55,9,1.7,9,1512.456771,81.54,353760,0,52810,30417,25062,2195.31,1865.86,1676.29,1.7,-2,2.2,2.4,0.7,1.8,2.2,1.4
2014-06-02,5.9,191,20.9,24.2,18,72,20,2.4,26.4,1502.641408,166.81,353760,0,52810,30417,25062,2194.2,1865.21,1675.52,1.7,-1,1.9,2.4,0.7,1.8,2.1,1.4
2014-06-03,19.8,86.5,19.1,21.3,17.2,86,31,2.4,14.7,1754.754894,76.48,353760,0,52810,30417,25062,2193.5,1865.13,1675.22,1.7,-1,1.9,2.4,0.7,1.8,2.1,1.4
2014-06-04,3.1,22,21.1,25.3,18.3,72,35,2.8,8.5,1601.177171,48.69,353760,0,52810,30417,25062,2194.24,1864.94,1674.9,1.7,-1,1.9,2.4,0.7,1.8,2.1,1.4
2014-06-05,1.2,17.5,20.7,23.8,18.2,72,40,2.2,9.5,1517.20554,64.04,353760,0,52810,30417,25062,2193.35,1864.72,1674.75,1.7,-1,1.9,2.4,0.7,1.8,2.1,1.4
